week,reviews,avg_rating,pos_share
2017-07-24,3,4.0,1.0
2017-08-21,3,1.0,0.0
2018-04-23,1,5.0,1.0
2018-07-09,1,5.0,1.0
2018-08-27,1,5.0,1.0
2018-11-05,3,5.0,1.0
2019-04-08,2,4.0,1.0
2019-05-27,1,5.0,1.0
2019-06-10,1,5.0,1.0
2019-06-24,3,5.0,1.0
2019-11-11,2,4.0,1.0
2020-03-23,1,5.0,1.0
2020-07-06,3,5.0,1.0
2020-09-07,3,5.0,1.0
2020-12-28,1,5.0,1.0
2022-04-25,1,5.0,1.0
2022-05-02,1,5.0,1.0
2022-08-29,1,5.0,1.0
2022-09-05,1,5.0,1.0
2022-09-19,1,5.0,1.0
2022-10-03,1,5.0,1.0
2022-10-10,1,1.0,0.0
2022-10-17,1,4.0,1.0
2022-11-28,1,5.0,1.0
2023-01-09,1,5.0,1.0
2023-02-20,1,1.0,0.0
2023-03-20,1,5.0,1.0
2023-04-17,1,5.0,1.0
2023-07-10,3,2.3333333333333335,0.3333333333333333
2023-07-17,1,5.0,1.0
2023-07-24,1,5.0,1.0
2023-07-31,1,5.0,1.0
2023-09-11,1,5.0,1.0
2023-09-25,1,1.0,0.0
2023-10-23,1,5.0,1.0
2023-11-13,1,5.0,1.0
2023-12-04,1,5.0,1.0
2024-01-22,1,5.0,1.0
2024-02-05,1,5.0,1.0
2024-02-26,2,5.0,1.0
2024-03-25,1,5.0,1.0
2024-04-01,6,4.833333333333333,1.0
2024-04-08,1,5.0,1.0
2024-04-15,1,4.0,1.0
2024-04-22,1,5.0,1.0
2024-05-13,2,5.0,1.0
2024-06-17,1,1.0,0.0
2024-06-24,1,1.0,0.0
2024-07-01,3,5.0,1.0
2024-07-15,1,1.0,0.0
2024-07-29,3,3.6666666666666665,0.6666666666666666
2024-08-12,4,5.0,1.0
2024-08-26,1,2.0,0.0
2024-09-02,2,2.5,0.5
2024-09-09,2,3.0,0.5
2024-09-23,3,5.0,1.0
2024-09-30,7,3.2857142857142856,0.5714285714285714
2024-11-04,6,5.0,1.0
2024-11-18,2,5.0,1.0
2024-11-25,3,5.0,1.0
2024-12-16,3,5.0,1.0
2024-12-23,2,5.0,1.0
2024-12-30,1,5.0,1.0
2025-01-06,6,3.0,0.5
2025-01-13,3,1.0,0.0
2025-01-20,4,5.0,1.0
2025-01-27,1,5.0,1.0
2025-02-03,3,4.333333333333333,0.6666666666666666
2025-02-10,5,5.0,1.0
2025-02-17,10,4.9,1.0
2025-02-24,4,5.0,1.0
2025-03-03,6,4.333333333333333,0.8333333333333334
2025-03-10,12,4.0,0.75
2025-03-17,22,4.318181818181818,0.8181818181818182
2025-03-24,14,4.714285714285714,0.9285714285714286
2025-03-31,30,4.2,0.8
2025-04-07,11,4.2727272727272725,0.8181818181818182
2025-04-14,23,4.478260869565218,0.8695652173913043
2025-04-21,31,4.483870967741935,0.8709677419354839
2025-04-28,26,4.6923076923076925,0.9230769230769231
2025-05-05,15,3.3333333333333335,0.5333333333333333
2025-05-12,31,3.7096774193548385,0.6774193548387096
2025-05-19,23,3.652173913043478,0.6956521739130435
2025-05-26,8,3.5,0.625
2025-06-02,23,4.3478260869565215,0.8260869565217391
2025-06-09,20,4.0,0.75
2025-06-16,42,4.666666666666667,0.9047619047619048
2025-06-23,30,4.6,0.9
2025-06-30,55,4.127272727272727,0.7818181818181819
2025-07-07,35,4.3428571428571425,0.8285714285714286
2025-07-14,45,4.955555555555556,0.9777777777777777
2025-07-21,55,4.0,0.7272727272727273
2025-07-28,54,4.351851851851852,0.8518518518518519
2025-08-04,36,4.0,0.75
2025-08-11,46,4.217391304347826,0.8043478260869565
2025-08-18,55,4.2727272727272725,0.8363636363636363
2025-08-25,4,5.0,1.0
